nome,endereço,telefone,aniversário,cpf
Pietro Câmara,"Praia de Araújo, 57, Solar Do Barreiro, 95474115 Freitas / PR",70-93857-2848,12/09/1990,207.651.893-21
Luiza Leão,"Conjunto de Brito, 33, Vila Tirol, 28171077 Pacheco / TO",11-93979-6275,16/05/1999,431.950.827-05
Vitória Dias,"Área de Rodrigues, Vila Bandeirantes, 84890-671 Sousa / RS",20-97914-6988,23/06/1995,902.385.164-15
Mirella Lopes,"Rodovia Luna Oliveira, 487, Novo Ouro Preto, 20064-497 Nogueira / RO",47-97451-6859,23/08/1958,953.267.418-73
Sra. Ana Júlia Vasconcelos,"Trevo Clarice da Cruz, 5, Vila Barragem Santa Lúcia, 25087-107 Duarte de Minas / ES",14-94419-1412,09/02/1990,746.319.280-69
Ravi Lucca Machado,"Passarela de Mendes, 3, Vila Satélite, 69007-637 Rios Paulista / GO",85-97166-3870,26/07/2000,820.756.143-26
Aylla da Cunha,"Esplanada de Pereira, 24, Granja Werneck, 47059-245 Guerra do Amparo / MT",15-91594-4553,23/07/1977,051.364.289-70
Srta. Clara Abreu,"Distrito Rhavi Marques, Santo Antônio, 38407-050 Leão / BA",47-93270-9379,23/04/1936,490.725.186-67
Carlos Eduardo Pinto,"Conjunto Eduardo Dias, 36, Madre Gertrudes, 17473-329 da Paz de da Rocha / DF",49-96957-6087,01/09/1935,015.278.639-21
Henry Sá,"Estrada de Pastor, 567, Novo Santa Cecilia, 99640035 Rocha Grande / PA",56-91088-1065,08/01/1962,350.186.472-80
Sr. Davi Miguel Cardoso,"Praça Bruno Cirino, 53, Grota, 46249280 Leão / PI",18-98616-5710,09/10/1992,619.275.384-91
Ana Cecília Lopes,"Conjunto de Almeida, 37, Vale Do Jatoba, 56427894 Pinto da Prata / CE",47-99513-5345,23/01/1995,095.876.142-67
Eduardo Sá,"Vila Duarte, 8, Mariquinhas, 93419-514 Albuquerque de Camargo / RO",49-95851-9652,06/08/1950,948.603.271-87
Maysa Gomes,"Travessa de da Luz, 76, Marieta 2ª Seção, 23344825 Freitas / RR",91-91079-8919,08/02/1973,598.234.076-65
Sara Câmara,"Estrada Hellena Cavalcanti, Jardim Guanabara, 92331-893 da Cruz de Costela / PA",23-96380-6799,25/03/2000,068.247.391-03
Sra. Mariane Cardoso,"Vereda Olivia Fernandes, Vila Boa Vista, 13664-148 Câmara do Campo / SP",15-96859-8678,09/12/1978,605.413.928-24
Isis Cavalcanti,"Alameda Moura, 29, Nova Floresta, 61879-522 Teixeira / PR",40-99170-7522,25/11/1967,734.269.801-69
Dra. Nina Jesus,"Feira Silveira, 328, Inconfidência, 50190364 Moraes de Goiás / TO",50-91809-6308,28/09/1948,896.410.573-75
Larissa da Costa,"Recanto Gonçalves, Prado, 38733440 Silveira do Amparo / MS",36-95515-6414,20/12/1942,327.804.961-69
Maria Liz da Rocha,"Núcleo Isadora Casa Grande, 35, Santo André, 33334-942 Nascimento / PA",58-92133-3317,13/03/1979,879.154.263-46
Lorena Albuquerque,"Lagoa Azevedo, Trevo, 60351-612 Gonçalves / RO",50-92680-3280,04/11/1961,685.130.974-20
Sra. Amanda Novais,"Largo Cavalcante, 2, Santa Tereza, 27390227 Macedo das Flores / DF",24-99304-4550,05/12/1988,164.023.785-26
Liam Silveira,"Lago de da Costa, 62, Aeroporto, 64852508 Pereira / CE",72-92592-5914,11/10/1938,925.460.317-16
Luigi da Cruz,"Setor Aragão, 7, Cachoeirinha, 98975-685 Lopes / SE",84-99600-8202,01/02/1936,694.751.380-48
Cecilia Andrade,"Travessa Sara Gomes, 42, Barreiro, 32013415 Moreira de Pastor / MT",52-99706-2010,02/09/1980,126.548.973-46
Jade Almeida,"Parque de Pimenta, 77, Engenho Nogueira, 05102-519 Cardoso da Praia / MS",64-96876-4561,11/05/2000,681.420.953-51
Aurora Rodrigues,"Fazenda Emanuelly Moraes, 52, Andiroba, 84200436 Sales de Goiás / AP",55-91880-9642,13/02/1986,806.712.594-58
João Vitor Nascimento,"Ladeira de Caldeira, 3, Serra, 01858873 Moura / RR",40-97325-3593,08/09/1954,457.216.380-44
Amanda da Cruz,"Residencial de Monteiro, 86, Coração De Jesus, 60913-979 da Rosa / PB",44-91981-6056,29/11/1949,240.375.961-99
Matteo Farias,"Passarela Yan Pereira, 41, Dom Joaquim, 49148173 Farias do Amparo / AC",22-94459-4950,17/07/1935,431.270.856-80
Ana Laura Castro,"Sítio Luan Gomes, 24, Conjunto Bonsucesso, 44514-765 Carvalho / AC",70-91921-9865,02/07/1967,317.265.490-70
Kaique Campos,"Distrito José Pedro da Luz, 584, Vila Suzana Primeira Seção, 82911-146 da Cunha / SC",52-92215-6219,02/05/1934,109.743.826-04
Marcelo Lopes,"Quadra João Miguel Duarte, 7, Vila São Rafael, 55454-420 Lima / AL",77-92653-2567,17/07/1962,514.678.203-26
Isabelly da Cruz,"Travessa Cavalcante, Santa Rosa, 97583065 Silva de Goiás / AC",64-91665-8533,29/07/1991,328.590.674-00
Thales Guerra,"Loteamento Ana Luiza Melo, 364, Mariano De Abreu, 71734048 Souza / SP",29-98463-8652,11/02/1937,580.736.921-12
Davi Lucas Gonçalves,"Vila de Camargo, 7, Liberdade, 04704-543 Azevedo da Serra / BA",24-98208-6265,26/04/1954,932.814.056-06
Arthur Gabriel Araújo,"Chácara Vargas, 94, Santa Terezinha, 57282112 Gonçalves / MA",32-94194-4213,06/03/2005,915.680.723-68
Nathan Vargas,"Estrada de Cirino, 53, Ventosa, 76392-628 Machado das Flores / SP",58-99808-3410,20/08/1966,546.390.827-38
